Emotion,Token,Frequency
neutral,darüber,24
neutral,gesang,13
neutral,meermädchens,1
neutral,evan,28
neutral,zauberstab,3
neutral,verloren,12
neutral,daher,7
neutral,baum,20
neutral,rettet,2
neutral,freigibt,1
neutral,bart,10
neutral,gefällt,2
neutral,maria,28
neutral,wegzaubern,1
neutral,verstorbenen,2
neutral,königs,27
neutral,verschollenen,2
neutral,königssohn,3
neutral,rücken,27
neutral,muttermale,4
neutral,bestimmter,1
neutral,anordnung,1
neutral,endlich,35
neutral,gilt,3
neutral,verschollene,1
neutral,hofe,5
neutral,kanzler,3
neutral,krab,2
neutral,riege,1
neutral,alter,15
neutral,duckmäuserischer,2
neutral,räte,3
neutral,seite,27
neutral,tanzstunden,1
neutral,sprechunterricht,1
neutral,französischen,1
neutral,mechanikus,2
neutral,baut,2
neutral,mechanische,4
neutral,nachtigall,26
neutral,mechanisch,2
neutral,zudem,2
neutral,schneider,2
neutral,gewand,2
neutral,anstehenden,1
neutral,krönung,3
neutral,anfertigen,1
neutral,normalen,1
neutral,stoffen,2
neutral,besonderen,1
neutral,stoff,7
neutral,amtes,4
neutral,würdig,5
neutral,geben,20
neutral,unsichtbaren,3
neutral,schließlich,31
neutral,krönungsgewand,2
neutral,schneidern,2
neutral,folglich,1
neutral,unterwäsche,2
neutral,obwohl,17
neutral,boms,1
neutral,eigentlich,14
neutral,nacktheit,2
neutral,sagen,35
neutral,traut,1
neutral,tellerwäscherin,2
neutral,anstellung,2
neutral,ruft,4
neutral,bloßstellt,1
neutral,immerhin,1
neutral,fast,19
neutral,nackt,5
neutral,fassen,3
neutral,gelingt,10
neutral,flucht,8
neutral,taucht,3
neutral,beklagt,1
neutral,gutgemeinte,1
neutral,königswürde,2
neutral,vollkommen,4
neutral,verändert,3
neutral,gemeinsam,20
neutral,glas,18
neutral,verhüllte,1
neutral,rose,26
neutral,verfällt,2
neutral,schwermut,1
neutral,krank,3
neutral,künstliche,3
neutral,ertragen,4
neutral,stets,7
neutral,wald,36
neutral,fliegt,12
neutral,evans,1
neutral,gesund,4
neutral,erinnert,6
neutral,frühere,1
neutral,flieht,5
neutral,hinterlässt,1
neutral,nachricht,4
neutral,verzichtet,2
neutral,wünschen,4
neutral,trennen,4
neutral,mögen,4
